"","biz_id","price_range","credit_cards2","take_outs","smoke","noise","reservation","waiter","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual"
"6","ShUDf64NVkwCe8izdUbYuw","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","mQfT3JYu18HN22DVylcE7A","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"12","MiVcQsXp3TYUmeD7FSa-hA","1",1,1,0,2,1,0,0,0,0,0,0,0,0,0,1
"19","tl9XIP5trlkcuSfTQqe5jg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"25","wAs-stW0HP6OXVXdpawnBQ","1",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"38","xvCWAzIS_EpTwDIUVhY_Og","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","nKrUueeLiIAeMH8nGhdh3A","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","RxYntP8Gsu9hH6gtGjQGVw","2",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"50","ChmqODwuYP1ewjmWXtxtsg","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"51","nBqXILuCGVZ4-aPuRKjCCg","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","IW9yHeqnFCEbO5s1UCrqeA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","s9D-UVxljO05xWTI33MjnA","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","2Bd3gy5lmINZ-2QxXVRLdA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","-KF9RQPkmIOHfE0tzUu9bg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","6w_k3NCXF_p8UTWDxpOF5w","0",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"70","i52eORoeWujZ9y_w3Dos5Q","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","EeQlS9VLlfWT25-MeYsJTg","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","yC3ydbHAJTZ22FZp4LynFg","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"87","IWwt0vm8lYbVoyGSPd2Z9A","2",1,1,2,2,0,0,0,0,0,0,0,0,0,0,1
"88","oxsCvEkQNNIbOPDt_QK_0A","2",1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
"90","pSiR8m18iick2D7TFdmb-Q","2",1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"91","GBN0-wo_cHLnC_pwoOTIFQ","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"95","iZpgRNPogioU5sEaDyl5uw","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"96","lLC7pJSpnF9CDfL9Gbg-Sg","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Cr2JNnewX53TYd9w6qw6Jw","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"100","04SKYBXRAqeYIuuVDzwKNg","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","DDnmNTvIIQu2t3WZ2EQx-w","2",1,1,0,2,1,1,0,0,0,0,0,1,0,0,1
"105","Ih1TGSZyu2Q8htn2JA4tIA","2",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"113","w5UduCXEjPr-uSmib5oPAw","3",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"115","X_J65cnN3jJWGYacyNwKGg","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"117","vfzUNcV9B3RhDyuZp0I1pQ","2",1,1,0,3,0,1,0,0,0,0,0,0,0,0,1
"120","r_0k2yqAo1Z4tg_IgXr7Jg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","qjmCVYkwP-HDa35jwYucbQ","2",1,1,0,2,1,1,0,0,0,0,0,0,1,0,1
"127","r2DS-PqOMA35EssB47SWNg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"133","Xqh9wCLzlt7ChkrV9BdR2Q","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Jje3kP5CNasYDSpH0NPRGQ","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"139","y3V2jqKmvWjyo9Mc-Ipn4g","2",1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"140","R53UdKGf8uKUIqErS4vc0g","1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","S0mTCni_l8jK0cYj8K8dLA","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","ElEF5b3n27IBzbA4R-1M1g","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","W3VsNhHLMRj5ABMdMcpaUw","2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
