"","price_range","credit_cards2","take_outs","smoke","noise","reservation","waiter","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual","desert","latenight","lunch","dinner","brunch","breakfast","wifi","delivery","tv","outdoor_seating","good_for_kids","good_for_groups","dogs","wheelchair","stars","UMM","UMMR","dogs"
"4",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0720866831129594,0.360433415564797,1
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.0213537034898445,0.103701388204665,1
"9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0517281911949958,0.206912764779983,1
"11",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0317888588037119,0.126356550811772,1
"13",2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,4,0.0795780614940235,0.33559272058375,1
"17",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0.0770360731998351,0.345412328990218,1
"20",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.5,0.08227707701613,0.325303648162485,1
"21",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,4,0.349414166775553,1.51117425335969,1
"23",4,1,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0.104378486656612,0.419297298100469,1
"25",4,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,4,0.142659625546147,0.579780673337755,1
"26",2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,0.304143529430013,1.51827461383164,1
"27",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,1,4,0.137302703354806,0.586900255725145,1
"28",1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,1,0,0,4.5,0.165271403605988,0.693150430177494,1
"37",2,1,1,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,1,0,1,0,1,4,0.100801310519146,0.419880900140914,1
"38",1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0.070828155391845,0.157714040418072,1
"40",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0.260292438097508,1.23158256835762,1
"41",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,1,4,0.111198883131594,0.473880639271501,1
"42",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.5,0.247815517498147,1.19774409359015,1
"43",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,1,0,1,4,0.138734469855472,0.571732226654599,1
"44",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0,4,0.145357206727732,0.522910271087053,1
"48",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0494593687890966,0.229685948904287,1
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.114827556107751,0.556261476194301,1
"50",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.192368750970984,0.928178244569448,1
"51",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,1,1,1,0,0,4,0.244886427493681,1.01450957225083,1
"52",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0.0597192141171945,0.238876856468778,1
"53",3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,1,0,1,4.5,0.153573003437862,0.694321196933146,1
"55",0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.238998905988189,1.18750223385045,1
"61",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,4,0.123788881313387,0.554282147962418,1
"62",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.264469120249559,1.32234560124779,1
"68",2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,1,4.5,0.138543892659954,0.628126186870777,1
"70",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0956905032932532,0.38547637276638,1
"72",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.136327934894354,0.579431862631471,1
"74",1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,1,0,1,4,0.0484657055083453,0.195656637460418,1
"76",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0.0305104000326959,0.131556025215966,1
"80",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.5,0.11311731743042,0.538402236780457,1
"81",2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,4.5,0.0370967693917763,0.151749891345455,1
"84",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4.5,0.139524425640955,0.669150022324631,1
"87",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0.10613662544477,0.478428980797105,1
"88",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.128213497851175,0.550808952224736,1
"95",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,4,0.119072458882337,0.456003523818723,1
