"","businessId","X.x","stars","UMM","UMMR","CILowerStars","zip","X.y","price_range","credit_cards2","take_outs","smoke","noise","reservation","waiter","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual"
"1","__CQhr0M-OpKdu0DXgGcaQ",1,2.5,0.0782214282843086,0.160729592538633,-0.201768486499641,85019,15476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","_-9pMxBWtG_x8l4rHWBasg",2,3.5,0.101022383217445,0.337419626666902,3.19602921313895,85016,4652,2,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0
"3","_-TRcD1fi3Eq6U0tEb6Qnw",3,3,0.0338579401443464,0.0729796099883627,2.06135622847264,85021,10279,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"4","_0DvMQAs9KvA58Pf3Z4ltg",4,5,0.0720866831129594,0.360433415564797,5,85085,15186,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","_1GI_asXVGhOJMNF51SdlQ",5,3.5,0.289036541478192,1.09419898009384,-1.83781167920893,85305,3873,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","_1lXRQ2Qda8HDpUQUqTYwA",6,2.5,0.00698774464872583,0.0160775443984056,1.24948086500435,85015,1976,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","_20WCD89imWx15jlxv7kGg",7,3.5,0.13221556257477,0.515058048783162,2.98295940314536,85224,9334,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"8","_2DT03K8fWh82Y9tBVYMKQ",8,4.5,0.0213537034898445,0.103701388204665,-1.85310236808735,85015,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","_3xR-RAnabwTj4Drsdfjgg",9,4,0.0517281911949958,0.206912764779983,4,85206,14257,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","_4yz-KdFD9VtknWBIhSW6Q",10,2,0.0950820901791192,0.244911221707528,0.672557248068969,85248,10306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","_5qkBSljHlRo5B9GQLDp3w",11,4,0.0317888588037119,0.126356550811772,2.95438842367907,85016,3065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","_6rzEUOYbo7lgtkSKkKS9g",12,3.5,0.138572171731128,0.531280415500891,3.18426540902192,85388,5598,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"13","_84VWy6K0MbkVAVPwz_ZTg",13,4,0.0795780614940235,0.33559272058375,3.70011439831514,85260,14394,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"14","_8KSZw_NbyxnLZTev02wtw",14,3,0.132272525738168,0.403220814045724,2.12513662142259,85295,5721,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","_91nx0Tz61WQIX2fpS7wDQ",15,2.5,0.34335573444739,1.00415595407479,-3.40353697299928,85029,3606,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","_9h-jH3YOkAU9-2A-dy6YQ",16,3.5,0.132473699696006,0.462071865828207,3.06378243934365,85210,6084,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"17","_9JDgUdXbCn1Vx-nj49VJg",17,4,0.0770360731998351,0.345412328990218,3.74024546676567,85224,786,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","_9TMkGfbOyniL-5P3Sx0nw",18,3.5,0.206438602779238,0.935613178930007,2.22651981917119,85203,14808,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"19","_9wiSQbsRe0fiVeHQkxygQ",19,3.5,0.151467676622735,0.543654093025666,2.92528649380696,85142,9342,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"20","_a4Ri7mWZcVBDtfZ4dEYeA",20,4.5,0.08227707701613,0.325303648162485,3.33921931838638,85018,10714,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","_A4zWsLoLbjozEJYHLDx0Q",21,4,0.349414166775553,1.51117425335969,3.67745263640715,85337,14170,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
